probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
702,20160518,44869,80.71.82.54,2a02:17c0:11:2:220:4aff:fec5:5b1a,system-v1,v4-v6-works
706,20160518,3320,217.95.36.89,2003:48:4f7f:ad39:a8c2:d3df:2451:5b4a,system-v1,v4-v6-works
711,20160518,3243,85.246.248.47,2001:8a0:7aa8:5b01:220:4aff:fec5:58b7,system-v1,v4-v6-works
712,20160518,12874,,,system-v1,v4-v6-works
713,20160518,20912,212.66.97.165,2001:40d0:ff:ffff::2,system-v1,v4-v6-works
720,20160518,34554,,,system-v1,v4-v6-works
722,20160518,3243,85.245.174.149,2001:8a0:7f13:8b01:220:4aff:fec5:5b5b,system-v1,v4-v6-works
731,20160518,42760,77.74.1.62,2a02:cd8:abac:3:220:4aff:fec5:5b12,system-v1,v4-v6-works
732,20160518,41073,89.207.59.36,2a00:1ed8:0:59::36,system-v1,v4-v6-works
735,20160518,8767,88.217.95.207,2001:a60:a000:1:220:4aff:fec5:5b15,system-v1,v4-v6-works
739,20160518,20900,,,system-v1,v4-v6-works
748,20160518,43751,,,system-v1,v4-v6-works
750,20160518,13101,213.178.88.172,2a00:12d0:0:12d:220:4aff:fec6:ca68,system-v1,v4-v6-works
753,20160518,43950,79.98.33.222,2a01:568:5000:138:220:4aff:fec5:5b29,system-v1,v4-v6-works
754,20160518,29208,89.235.49.1,2001:4de8:deaf:905:220:4aff:fec6:cafd,system-v1,v4-v6-works
761,20160518,13037,82.68.199.128,2a02:8011:d00e:3:225:90ff:fec0:77b4,system-v1,v4-v6-works
764,20160518,1955,193.6.223.20,2001:738:0:410:220:4aff:fec6:cb2e,system-v1,v4-v6-works
784,20160518,12816,129.187.163.18,2001:4ca0:0:f014:220:4aff:fec7:ac17,system-v1,v4-v6-works
785,20160518,12322,82.231.117.238,2a01:e35:2e77:5ee1::5,system-v1,v4-v6-works
786,20160518,44869,80.71.82.50,2a02:17c0:11:1:220:4aff:fec7:ac1c,system-v1,v4-v6-works
789,20160518,13101,82.97.161.91,2a00:12d0:0:12e:220:4aff:fec6:ca3e,system-v1,v4-v6-works
790,20160518,12322,82.235.50.173,2a01:e35:2eb3:2ad0:220:4aff:fec7:adac,system-v1,v4-v6-works
801,20160518,7922,75.73.5.15,2601:449:4001:3600:220:4aff:fec6:ca50,system-v1,v4-v6-works
806,20160518,8468,,,system-v1,v4-v6-works
812,20160518,12502,212.71.205.23,2001:14f8:1:1::17,system-v1,v4-v6-works
814,20160518,41000,176.74.16.164,2a00:b980:100:1::4,system-v1,v4-v6-works
815,20160518,23655,111.69.74.62,2406:e006:42a3:1:220:4aff:fec6:cb1c,system-v1,v4-v6-works
820,20160518,24956,217.13.64.36,2a00:1030:0:48::4,system-v1,v4-v6-works
822,20160518,3320,93.211.230.37,2003:7e:4f4f:5d00:220:4aff:fec7:ae2e,system-v1,v4-v6-works
823,20160518,8879,212.62.68.21,2a00:1348::220:4aff:fec6:cb3e,system-v1,v4-v6-works
824,20160518,12322,,,system-v1,v4-v6-works
826,20160518,3213,85.158.44.10,2001:4b10:1000:1:220:4aff:fec7:ae38,system-v1,v4-v6-works
830,20160518,43382,77.74.170.62,2001:67c:2700:1920::62,system-v1,v4-v6-works
833,20160518,29422,188.117.5.237,2001:1bc8:101:ea00:220:4aff:fec6:cfd7,system-v1,v4-v6-works
834,20160518,8648,,,system-v1,v4-v6-works
836,20160518,12322,,,system-v1,v4-v6-works
837,20160518,48854,,,system-v1,v4-v6-works
844,20160518,199071,193.189.137.175,2001:67c:3f8:b:220:4aff:fec7:ae5e,system-v1,v4-v6-works
