probeid,day,asn_v4,address_v4,address_v6,tagged_version,connectivity
960,20160518,30737,82.199.8.22,2a00:1a50:beef:0:220:4aff:fec7:afcb,system-v1,v4-v6-works
964,20160518,34612,91.215.148.53,2a03:5380:0:1882:220:4aff:fec7:afcf,system-v1,v4-v6-works
979,20160518,35366,85.31.184.111,2a02:180:ffff:1::551f:b86f,system-v1,v4-v6-works
1047,20160518,9735,203.119.87.232,2001:dca:2000::cb77:57e8,system-v1,v4-v6-works
1050,20160518,132003,103.196.108.3,2404:2000:3010:80:220:4aff:fec7:b041,system-v1,v4-v6-works
1069,20160518,45935,180.222.210.141,2400:3100:1:0:220:4aff:fec7:b008,system-v1,v4-v6-works
1083,20160518,45942,180.233.120.30,2402:cd00::220:4aff:fec7:b032,system-v1,v4-v6-works
1105,20160518,36375,141.213.135.222,2607:f018:699:fffa:220:4aff:fec7:b063,system-v1,v4-v6-works
1113,20160518,16881,199.212.124.184,2620:ee:8000:103:220:4aff:fec7:b06b,system-v1,v4-v6-works
1123,20160518,7922,73.178.68.31,2601:80:4000:fa4b:220:4aff:fec7:b077,system-v1,v4-v6-works
1164,20160518,26711,192.0.39.210,2620:0:2ed0:aaaa::210,system-v1,v4-v6-works
1171,20160518,33080,,,system-v1,v4-v6-works
1219,20160518,28855,,,system-v1,v4-v6-works
1228,20160518,786,,,system-v1,v4-v6-works
1230,20160518,3245,,,system-v1,v4-v6-works
1238,20160518,34225,91.184.33.57,2a01:198:0:3::57,system-v1,v4-v6-works
1260,20160518,2108,,,system-v1,v4-v6-works
1269,20160518,3245,,,system-v1,v4-v6-works
1281,20160518,21079,,,system-v1,v4-v6-works
1283,20160518,34594,85.114.53.76,2a02:ac8:0:107:220:4aff:fec7:bf09,system-v1,v4-v6-works
1293,20160518,2108,,,system-v1,v4-v6-works
1304,20160518,6730,,,system-v1,v4-v6-works
1305,20160518,30880,212.63.222.105,2a01:298:10:0:220:4aff:fec7:bf4b,system-v1,v4-v6-works
1306,20160518,13045,212.59.36.58,2a02:560:2:1c0::2,system-v1,v4-v6-works
1310,20160518,48200,,,system-v1,v4-v6-works
1315,20160518,25091,46.20.243.57,2a02:2528:ff01:3:220:4aff:fec7:bf78,system-v1,v4-v6-works
1324,20160518,2614,,,system-v1,v4-v6-works
1327,20160518,35548,84.254.65.10,2a00:14a8:1003:2:220:4aff:fec8:2449,system-v1,v4-v6-works
1329,20160518,8542,85.200.216.186,2a00:14d8:1001:79:220:4aff:fec8:247f,system-v1,v4-v6-works
1337,20160518,31122,,,system-v1,v4-v6-works
1342,20160518,48417,94.247.32.16,2a02:db8::7,system-v1,v4-v6-works
1355,20160518,41655,195.8.198.206,2a00:adc0:0:194:220:4aff:fec8:65f7,system-v1,v4-v6-works
1360,20160518,48173,46.231.177.254,2a00:cd0:1:505::2,system-v1,v4-v6-works
1370,20160518,12337,213.95.203.50,2001:780:129:3:220:4aff:fecb:c12,system-v1,v4-v6-works
1394,20160518,786,131.231.128.94,2001:630:301:4621:220:4aff:fecb:ceb,system-v1,v4-v6-works
1404,20160518,29691,,,system-v1,v4-v6-works
